Region,E-2 Wheelers,E-3 Wheelers,E-4 Wheelers,E-Buses,Total EVs,Total Charging Stations,Total Vehicles
Uttar Pradesh,160678,463393,9270,820,634161,583,43852548
Maharastra,329080,65500,35312,5150,435042,3083,34323748
Karnataka,304610,63552,22931,1460,392553,5059,29785247
Tamil Nadu,298353,222,22260,1380,322215,659,31618002
Delhi,170580,94389,22800,950,288719,1886,13994966
Assam,131543,118630,124,46,250343,86,5312457
Gujarat,170445,62777,15188,880,249290,476,22804558
Rajasthan,161865,61842,14021,796,238524,500,18857703
Bihar,20425,143863,462,72,164822,124,11631081
West Bengal,122075,37039,3153,160,162427,318,15227219
Haryana,103010,40280,8340,100,151730,377,12062205
Kerala,113560,34188,982,300,149030,921,16781110
Chhattisgarh,79440,19425,6320,300,105485,149,7413951
Madhya Pradesh,49950,45231,4358,680,100219,341,19616269
Andhra Pradesh,69620,21878,6257,150,97905,327,16553509
Uttarakhand,49283,30195,450,120,80048,82,3647377
Telangana,39145,222,23474,760,63601,493,8452465
Odisha,47152,11544,1014,100,59810,202,10638175
Punjab,39456,555,6077,250,46338,189,13196875
Jharkhand,14860,21154,1113,150,37277,135,7057289
Jammu and Kashmir,1970,25974,97,10,28051,47,2055765
Chandigadh,9906,222,1666,170,11964,12,841172
Puducherry,6085,222,550,50,6907,25,1330320
Himachal Pradesh,24,333,168,150,675,44,2178827
